country_code,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,,,,,2.8,,,,,,2.2,,,,,,,,,
AGO,,,23.4,,,,56.6,,,,,,,,,,,,,
ALB,,12.8,,10.8,,,,,,13.1,,,,,,20.7,,,,
ARG,,,30.3,,,,38.0,,,,,,,57.8,,,,,,
ARM,,11.5,,,,31.8,,,,24.4,,,,,,,27.4,,,
ATG,,,,,,,21.3,,,,,,,,,,,,,
AUT,,,,,,,,,,,,,,,,,,36.9,,
AZE,,14.6,,,,10.8,,,,4.0,,,,,,15.3,,,,
BDI,,,34.8,,,,,,,,44.0,,,,,,,,,
BEL,,,,,,,,,,,,,,,,,44.2,,,
BEN,,,,,,45.4,,,,,,,36.7,,,,,,,
BFA,,,23.3,,,19.2,,,,,,,,,,,,,,
BGD,,,,16.1,,,,,,12.7,,,,,,,,,6.7,
BGR,,28.8,,39.2,,33.9,,,,41.5,,,,,,41.7,,,,29.5
BHS,,,,,,,58.3,,,,,,,,,,,,,
BIH,,21.6,,,,32.8,,,,22.8,,,,,,24.9,,,,23.7
BLR,,18.6,,,52.9,,,,,46.2,,,,,45.5,,,,,
BLZ,,,,,,,30.4,,,,,,,,,,,,,
BOL,,,41.1,,,,41.3,,,,,,,68.6,,,,,,
BRA,,,,,,50.2,,,,,,,,,,,,,,
BRB,,,,,,,43.5,,,,,,,,,,,,,32.6
BTN,,,,,,31.3,,,,,,43.3,,,,,,,,
BWA,,,40.9,,,,55.3,,,,,,,,,,,,,35.1
CAF,,,,,,,,53.3,,,,,,,,,,,,57.5
CHL,,,27.8,,,,29.6,,,,,,,,,,,,,
CHN,,,,,,,,,64.2,,,,,,,,,,,
CIV,,,,,,61.9,,,,,,,24.4,,,,,,,22.5
CMR,,,35.3,,,15.7,,,,,,,39.7,,,,,,,
COD,,,21.2,,,,38.9,,,15.1,,,,,,,,,,
COG,,,,,,31.8,,,,,,,,,,,,,,
COL,,,43.0,,,,35.3,,,,,,,66.9,,,,,,62.5
CPV,,,42.7,,,33.1,,,,,,,,,,,,,,
CRI,,65.3,,,,,43.5,,,,,,,,,,,,,53.0
CYP,,,,,,,,,,,,,,,,45.1,,,,
CZE,,17.8,,,,25.0,,,,30.4,,,,,,29.9,,,,
DEU,,20.3,,,,,,,,,,,,,,,,33.5,,
DJI,,,,,,,,,,22.3,,,,,,,,,,
DMA,,,,,,,41.0,,,,,,,,,,,,,
DNK,,,,,,,,,,,,,,,,,31.8,,,
DOM,,,,,,,30.0,,,,,,32.2,,,,,,,
DZA,,,,15.0,,,,,,,,,,,,,,,,
ECU,,,32.7,,,,24.1,,,,,,,70.4,,,,,,
EGY,,,,20.9,34.0,,,,,16.1,,,17.8,,,,5.2,,,
ERI,,,,,,4.2,,,,,,,,,,,,,,
ESP,,34.1,,,,,,,,,,,,,,,,61.8,,
EST,,28.3,,,,36.3,,,,38.3,,,,,,35.5,,,,38.0
ETH,,,30.9,,,,,35.3,,,,36.2,,,,,,,,
FIN,,,,,,,,,,,,,,,,,44.0,,,
FJI,,,,,,49.1,,,,,,,,,,,,,,
FRA,,,,,,,,,,,,,,,,,,51.2,,
FSM,,,,,,86.8,,,,,,,,,,,,,,
GAB,,,,,,33.1,,,,,,,,,,,,,,
GEO,,35.2,,,40.8,,,,,36.1,,,,,,22.4,,,,29.5
GHA,,,,44.0,,,,,,31.6,,,,,,,,,,35.0
GIN,,,25.4,,,,,,,,,,9.0,,,,,,,
GMB,,,21.3,,,,,,,,,,,,16.8,,,,,17.1
GNB,,,19.9,,,,,,,,,,,,,,,,,
GRC,,24.4,,,,,,,,,,,,,45.9,,,,,43.9
GRD,,,,,,,57.3,,,,,,,,,,,,,
GTM,,,28.4,,,,44.2,,,,,,,31.5,,,,,,
GUY,,,,,,,58.3,,,,,,,,,,,,,
HKG,,,,,,,,,,,,,,,,,,,,37.1
HND,,,39.9,,,,43.3,,,,,,54.7,,,,,,,
HRV,,19.2,,33.5,,,,,,36.3,,,,,,31.7,,,,34.3
HUN,,36.5,,,,42.4,,,,48.7,,,,,,51.9,,,,43.5
IDN,,,,,,42.8,,,,,,22.1,,,,,,,,59.4
IND,,,9.1,,,,,,,,10.7,,,,,,,,3.9,
IRL,,41.6,,,,,,,,,,,,,,,54.9,,,
IRQ,,,,,,,,6.8,,,,,,,,,,,3.8,
ISR,,,,,,,,,,27.3,,,,,,,,,,
ITA,,,,,,,,,,,,,,,,24.0,,,,
JAM,,,,,,,38.2,,,,,,,,,,,,,
JOR,,,13.1,,,,,,,15.7,,,,,,22.6,,,,
KAZ,,29.4,,,,34.4,,,,29.6,,,,,,30.5,,,,
KEN,,,,37.1,,,,,,48.7,,,,,47.5,,,,,
KGZ,,26.3,,,,60.4,,,,51.2,,,,,,45.0,,,,34.3
KHM,,,,,,,,,,,,,46.2,,,,,,,40.4
KNA,,,,,,,57.8,,,,,,,,,,,,,
KOR,,19.1,,,,,,,,,,,,,,,,,,
LAO,,,,,,39.3,,,41.9,,,,43.1,,36.5,,,,,
LBN,,,,,,33.5,,,,43.5,,,,,,9.9,,,,
LBR,,,,,,53.0,,,,,,,,37.4,,,,,,
LCA,,,,,,,32.1,,,,,,,,,,,,,
LKA,,,,,,,,26.1,,,,,,,,,,,,
LSO,,,,,,18.4,,,,,,,39.1,,,,,,,55.4
LTU,33.3,26.1,,,,38.7,,,,35.7,,,,,,43.1,,,,
LUX,,,,,,,,,,,,,,,,,40.5,,,
LVA,,36.3,,,,46.3,,,,41.6,,,,,,46.6,,,,
MAR,,,,13.1,,,,,,31.3,,,,,,16.1,,,,12.3
MDA,,24.5,,,,53.1,,,,54.1,,,,,,39.9,,,,
MDG,,,,,,50.0,,,,41.6,,,,,,,,,24.2,
MEX,,,24.8,,,,25.7,,,,,,,,,,,,,14.9
MKD,,18.6,,,,36.4,,,,27.7,,,,,,29.3,,,,20.6
MLI,,,,18.3,,,58.3,,,,,,15.3,,,,,,,
MLT,,,,,,,,,,,,,,,,46.0,,,,
MMR,,,,,,,,,,,27.3,,35.1,,,,,,,
MNE,,,,,,26.0,,,,25.6,,,,,,24.0,,,,24.0
MNG,,,,,,52.0,,,,36.1,,,,,,43.7,,,,
MOZ,,,,24.4,,,,,,,,,,,28.3,,,,,
MRT,,,17.3,,,,,,,,15.0,,,,,,,,,
MUS,,,,,,16.9,,,,,,,,,,,,,,39.6
MWI,,,,,,23.9,,,,,28.1,,,,,,,,,
MYS,,,,13.1,,,,,,,,25.4,,,,40.9,,,,
NAM,,,33.4,,,,,,,,41.0,,,,,,,,,
NER,,,10.0,,,17.6,,,,,,,,14.5,,,,,,
NGA,,,,20.0,,,,,,,16.2,,,,,,,,,
NIC,,,41.4,,,,61.9,,,,,,35.8,,,,,,,
NLD,,,,,,,,,,,,,,,,,35.0,,,
NPL,,,,,,27.3,,,,21.8,,,,,,,,,,14.7
NZL,,,,,,,,,,,,,,,,,,,,58.2
PAK,,,,6.7,,,,,,11.8,,,,,,,,,4.9,
PAN,,,37.1,,,,24.7,,,,,,,,,,,,,
PER,,,32.8,,,,28.7,,,,,,,56.6,,,,,,55.3
PHL,,,,,,69.4,,,,,,69.2,,,,,,,,56.7
PNG,,,,,,,,,,,,46.5,,,,,,,,
POL,,30.7,,,,47.9,,,,40.2,,,,,,37.0,,,,
PRT,,50.8,,,,,,,,,,,,,,37.8,,,,47.8
PRY,,,44.8,,,,51.6,,,,,,,66.2,,,,,,63.4
PSE,,,18.0,,,,,,,10.7,,,,,,6.0,,,,11.8
ROU,,26.1,,,,47.9,,,,47.2,,,,,,32.4,,,,26.7
RUS,,23.9,,,,33.1,,,28.5,,,,,,,34.0,,,,
RWA,,,41.0,,,,,42.7,,,,,,,,26.5,,,,37.8
SAU,,,,,,,,,,,,,,,,,,,4.9,
SDN,,,,,,,,,,,8.2,,,,,,,,,
SEN,,,,26.3,,,,,,,22.9,,,,,,,,,
SGP,,,,,,,,,,,,,,,,,,,,35.9
SLB,,,,,,,,,,,,47.4,,,,,,,,
SLE,,,,,,7.9,,,,,,,,18.8,,,,,,19.1
SLV,,,39.6,,,,40.2,,,,,,38.4,,,,,,,55.5
SRB,,23.0,,,,28.8,,,,34.9,,,,,,28.5,,,,
SSD,,,,,,,,,,,21.9,,,,,,,,,
SUR,,,,,,,18.3,,,,,,,,32.7,,,,,
SVK,,11.8,,,,29.6,,,,29.7,,,,,,28.9,,,,25.6
SVN,,29.1,,,,42.2,,,,38.5,,,,,,34.1,,,,
SWE,,,,,,,,,,,52.5,,,,,,37.3,,,
SWZ,,,28.6,,,,,,,,,,36.0,,,,,,,
SYC,,,,,,,,,,,,,,,,,,,,60.6
SYR,,,,,,14.4,,,,,,,,,,,,,,
TCD,,,,,,40.1,,,,,,,,,13.1,,,,,10.7
TGO,,,,,,31.8,,,,,,,25.3,,,,,,,25.0
THA,,,,,,,,,,,,,64.4,,,,,,,
TJK,,14.4,,,34.4,,,,,32.5,,,,,,22.7,,,,
TLS,,,,,,42.9,,,,,,64.4,,,,,,26.9,,
TON,,,,,,65.3,,,,,,,,,,,,,,
TTO,,,,,,,45.1,,,,,,,,,,,,,
TUN,,,,,,,,,,49.5,,,,,,,40.1,,,
TUR,9.0,11.4,,,40.7,,,,,25.1,,,,,,11.3,,,,
TZA,,,30.9,,,,,,,24.7,,,,,,,,,,13.2
UGA,,,34.7,,,,,,,26.6,,,,,,,,,,
UKR,,27.1,,,47.1,,,,,32.2,,,,,,38.6,,,,
URY,,,41.6,,,,23.1,,,,,,,37.0,,,,,,
UZB,,14.5,,,39.8,,,,,29.0,,,,,,25.9,,,,
VCT,,,,,,,76.0,,,,,,,,,,,,,
VEN,,,,,,,30.7,,,,,,,,,,,,,
VNM,,,,,,59.2,,,,,,51.1,,,,,,,,24.8
VUT,,,,,,51.4,,,,,,,,,,,,,,42.2
WSM,,,,,,79.8,,,,,,,,,,,,,,54.9
YEM,,,,,,,6.4,,,6.6,,,,,,,,,,
ZAF,,,,22.6,,,,,,,,,,,,,10.6,,,
ZMB,,,,37.2,,,,,,43.7,,,,,,41.5,,,,
ZWE,,,,,,,,56.2,,,,,42.5,,,,,,,
