country_code,2013,2014,2015,2016,2017,2018,2019
AFG,9.0,9.0,9.0,9.0,9.0,10.0,10.0
AGO,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ALB,7.0,6.0,6.0,6.0,8.0,8.0,8.0
ARE,2.0,2.0,2.0,2.0,2.0,6.0,6.0
ARG,2.0,2.0,2.0,2.0,2.0,2.0,2.0
ARM,4.0,4.0,4.0,6.0,6.0,6.0,6.0
ATG,5.0,5.0,5.0,5.0,5.0,5.0,5.0
AUS,11.0,11.0,11.0,11.0,11.0,11.0,11.0
AUT,4.0,4.0,4.0,4.0,4.0,4.0,4.0
AZE,2.0,2.0,2.0,2.0,2.0,8.0,12.0
BDI,2.0,2.0,2.0,2.0,2.0,2.0,2.0
BEL,4.0,4.0,4.0,4.0,4.0,8.0,8.0
BEN,6.0,6.0,6.0,6.0,6.0,6.0,6.0
BFA,6.0,6.0,6.0,6.0,6.0,6.0,6.0
BGD,5.0,5.0,5.0,5.0,5.0,5.0,5.0
BGR,8.0,8.0,8.0,8.0,8.0,8.0,8.0
BHR,1.0,1.0,1.0,1.0,1.0,1.0,3.0
BHS,6.0,6.0,6.0,6.0,6.0,6.0,6.0
BIH,7.0,7.0,7.0,7.0,7.0,7.0,7.0
BLR,1.0,1.0,1.0,1.0,3.0,3.0,3.0
BLZ,4.0,4.0,4.0,4.0,4.0,4.0,4.0
BOL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,2.0,2.0,2.0,2.0,2.0,2.0,2.0
BRB,6.0,6.0,6.0,6.0,6.0,6.0,6.0
BRN,4.0,4.0,4.0,5.0,12.0,12.0,12.0
BTN,4.0,4.0,4.0,4.0,4.0,4.0,4.0
BWA,5.0,5.0,5.0,5.0,5.0,5.0,5.0
CAF,6.0,6.0,6.0,6.0,6.0,6.0,6.0
CAN,9.0,9.0,9.0,9.0,9.0,9.0,9.0
CHE,6.0,6.0,6.0,6.0,6.0,6.0,6.0
CHL,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHN,3.0,3.0,3.0,3.0,3.0,3.0,3.0
CIV,6.0,6.0,6.0,6.0,6.0,6.0,6.0
CMR,6.0,6.0,6.0,6.0,6.0,6.0,6.0
COD,6.0,6.0,6.0,6.0,6.0,6.0,6.0
COG,6.0,6.0,6.0,6.0,6.0,6.0,6.0
COL,3.0,11.0,11.0,11.0,11.0,11.0,11.0
COM,6.0,6.0,6.0,6.0,6.0,6.0,6.0
CPV,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CRI,2.0,2.0,10.0,10.0,10.0,10.0,10.0
CYP,7.0,7.0,7.0,7.0,7.0,7.0,7.0
CZE,5.0,7.0,7.0,7.0,7.0,7.0,7.0
DEU,6.0,6.0,6.0,6.0,6.0,6.0,6.0
DJI,1.0,1.0,1.0,1.0,1.0,5.0,8.0
DMA,6.0,6.0,6.0,6.0,6.0,6.0,6.0
DNK,8.0,8.0,8.0,8.0,8.0,8.0,8.0
DOM,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DZA,2.0,2.0,2.0,2.0,2.0,2.0,2.0
ECU,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EGY,2.0,2.0,2.0,2.0,2.0,5.0,5.0
ERI,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP,5.0,5.0,5.0,5.0,5.0,5.0,5.0
EST,7.0,7.0,7.0,7.0,7.0,7.0,7.0
ETH,3.0,3.0,3.0,3.0,3.0,3.0,3.0
FIN,6.0,6.0,6.0,6.0,6.0,6.0,6.0
FJI,5.0,5.0,5.0,5.0,5.0,5.0,5.0
FRA,4.0,4.0,4.0,4.0,4.0,4.0,4.0
FSM,10.0,10.0,10.0,10.0,10.0,10.0,10.0
GAB,6.0,6.0,6.0,6.0,6.0,6.0,6.0
GBR,7.0,7.0,7.0,7.0,7.0,7.0,7.0
GEO,9.0,9.0,9.0,9.0,9.0,9.0,9.0
GHA,6.0,6.0,6.0,6.0,6.0,6.0,6.0
GIN,6.0,6.0,6.0,6.0,6.0,6.0,6.0
GMB,4.0,4.0,4.0,6.0,6.0,6.0,6.0
GNB,6.0,6.0,6.0,6.0,6.0,6.0,6.0
GNQ,6.0,6.0,6.0,6.0,6.0,6.0,6.0
GRC,2.0,2.0,2.0,2.0,2.0,2.0,2.0
GRD,6.0,6.0,6.0,6.0,6.0,6.0,6.0
GTM,9.0,9.0,9.0,9.0,9.0,9.0,9.0
GUY,3.0,3.0,3.0,3.0,3.0,3.0,3.0
HKG,7.0,7.0,8.0,8.0,8.0,8.0,8.0
HND,9.0,8.0,8.0,8.0,8.0,8.0,8.0
HRV,5.0,5.0,5.0,5.0,5.0,5.0,5.0
HTI,2.0,2.0,2.0,2.0,2.0,2.0,2.0
HUN,6.0,9.0,9.0,9.0,9.0,9.0,9.0
IDN,4.0,4.0,5.0,6.0,6.0,6.0,6.0
IND,6.0,6.0,6.0,6.0,8.0,9.0,9.0
IRL,7.0,7.0,7.0,7.0,7.0,7.0,7.0
IRN,2.0,2.0,2.0,2.0,2.0,2.0,2.0
IRQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISL,4.0,4.0,4.0,4.0,4.0,4.0,4.0
ISR,6.0,6.0,6.0,6.0,6.0,6.0,6.0
ITA,2.0,2.0,2.0,2.0,2.0,2.0,2.0
JAM,6.0,10.0,9.0,9.0,9.0,9.0,9.0
JOR,0.0,0.0,0.0,0.0,0.0,0.0,11.0
JPN,5.0,5.0,5.0,5.0,5.0,5.0,5.0
KAZ,3.0,3.0,4.0,4.0,6.0,6.0,8.0
KEN,7.0,7.0,7.0,7.0,7.0,10.0,11.0
KGZ,8.0,8.0,8.0,8.0,9.0,9.0,9.0
KHM,10.0,10.0,10.0,10.0,10.0,10.0,10.0
KIR,4.0,4.0,4.0,4.0,4.0,4.0,4.0
KNA,5.0,5.0,5.0,5.0,5.0,5.0,5.0
KOR,5.0,5.0,5.0,5.0,5.0,5.0,5.0
KWT,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LAO,2.0,6.0,6.0,6.0,6.0,6.0,6.0
LBN,2.0,2.0,2.0,2.0,2.0,2.0,2.0
LBR,5.0,5.0,9.0,9.0,10.0,10.0,10.0
LBY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LCA,5.0,5.0,5.0,5.0,5.0,5.0,5.0
LIE,,,,,,3.0,3.0
LKA,2.0,2.0,2.0,2.0,2.0,2.0,2.0
LSO,5.0,5.0,5.0,5.0,5.0,5.0,5.0
LTU,6.0,6.0,6.0,6.0,6.0,6.0,6.0
LUX,3.0,3.0,3.0,3.0,3.0,3.0,3.0
LVA,9.0,9.0,9.0,9.0,9.0,9.0,9.0
MAR,2.0,2.0,2.0,2.0,2.0,2.0,2.0
MDA,8.0,8.0,8.0,8.0,8.0,8.0,8.0
MDG,1.0,1.0,2.0,2.0,2.0,2.0,2.0
MDV,2.0,2.0,2.0,2.0,2.0,2.0,2.0
MEX,7.0,8.0,10.0,10.0,10.0,10.0,10.0
MHL,10.0,10.0,10.0,10.0,10.0,10.0,10.0
MKD,6.0,6.0,6.0,9.0,9.0,9.0,9.0
MLI,6.0,6.0,6.0,6.0,6.0,6.0,6.0
MLT,2.0,2.0,2.0,2.0,2.0,2.0,2.0
MMR,2.0,2.0,2.0,2.0,2.0,2.0,2.0
MNE,12.0,12.0,12.0,12.0,12.0,12.0,12.0
MNG,5.0,5.0,5.0,5.0,9.0,9.0,9.0
MOZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MRT,2.0,2.0,2.0,2.0,2.0,2.0,2.0
MUS,6.0,6.0,6.0,6.0,6.0,6.0,6.0
MWI,5.0,5.0,5.0,9.0,11.0,11.0,11.0
MYS,7.0,7.0,7.0,7.0,7.0,7.0,7.0
NAM,5.0,5.0,5.0,5.0,5.0,5.0,5.0
NER,6.0,6.0,6.0,6.0,6.0,6.0,6.0
NGA,6.0,6.0,6.0,6.0,9.0,9.0,9.0
NIC,1.0,1.0,1.0,1.0,1.0,2.0,2.0
NLD,2.0,2.0,2.0,2.0,2.0,2.0,2.0
NOR,5.0,5.0,5.0,5.0,5.0,5.0,5.0
NPL,6.0,6.0,6.0,6.0,10.0,10.0,10.0
NZL,12.0,12.0,12.0,12.0,12.0,12.0,12.0
OMN,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PAK,2.0,2.0,2.0,2.0,2.0,2.0,2.0
PAN,4.0,7.0,7.0,7.0,8.0,8.0,8.0
PER,7.0,7.0,7.0,7.0,7.0,7.0,7.0
PHL,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PLW,10.0,10.0,10.0,10.0,10.0,10.0,10.0
PNG,3.0,3.0,3.0,9.0,9.0,9.0,9.0
POL,7.0,7.0,7.0,7.0,7.0,7.0,7.0
PRI,11.0,11.0,11.0,11.0,12.0,12.0,12.0
PRT,2.0,2.0,2.0,2.0,2.0,2.0,2.0
PRY,2.0,1.0,1.0,1.0,1.0,1.0,1.0
PSE,0.0,0.0,0.0,0.0,8.0,8.0,8.0
QAT,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ROU,9.0,9.0,9.0,9.0,9.0,9.0,9.0
RUS,4.0,4.0,7.0,7.0,9.0,9.0,9.0
RWA,9.0,10.0,10.0,10.0,10.0,11.0,11.0
SAU,1.0,1.0,1.0,1.0,1.0,1.0,3.0
SDN,3.0,3.0,3.0,3.0,3.0,5.0,3.0
SEN,6.0,6.0,6.0,6.0,6.0,6.0,6.0
SGP,8.0,8.0,8.0,8.0,8.0,8.0,8.0
SLB,10.0,10.0,10.0,10.0,10.0,10.0,10.0
SLE,5.0,5.0,5.0,5.0,5.0,5.0,5.0
SLV,3.0,3.0,9.0,9.0,9.0,9.0,9.0
SMR,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SOM,,,0.0,0.0,0.0,0.0,0.0
SRB,6.0,6.0,6.0,6.0,6.0,6.0,6.0
SSD,2.0,2.0,2.0,2.0,2.0,2.0,2.0
STP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUR,2.0,2.0,2.0,2.0,2.0,2.0,2.0
SVK,7.0,7.0,7.0,7.0,7.0,7.0,7.0
SVN,3.0,3.0,3.0,3.0,3.0,3.0,3.0
SWE,7.0,7.0,7.0,7.0,7.0,7.0,7.0
SWZ,4.0,4.0,4.0,4.0,4.0,4.0,4.0
SYC,2.0,2.0,2.0,2.0,2.0,2.0,2.0
SYR,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TCD,6.0,6.0,6.0,6.0,6.0,6.0,6.0
TGO,6.0,6.0,6.0,6.0,6.0,6.0,6.0
THA,3.0,3.0,3.0,3.0,7.0,7.0,7.0
TJK,1.0,1.0,1.0,1.0,1.0,1.0,11.0
TLS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TON,10.0,10.0,10.0,10.0,10.0,10.0,10.0
TTO,6.0,7.0,7.0,7.0,7.0,7.0,7.0
TUN,3.0,3.0,3.0,3.0,3.0,3.0,3.0
TUR,2.0,2.0,2.0,2.0,4.0,7.0,7.0
TZA,5.0,5.0,5.0,5.0,5.0,5.0,5.0
UGA,5.0,5.0,5.0,5.0,5.0,5.0,5.0
UKR,8.0,8.0,8.0,8.0,8.0,8.0,8.0
URY,4.0,4.0,4.0,4.0,4.0,4.0,4.0
USA,11.0,11.0,11.0,11.0,11.0,11.0,11.0
UZB,1.0,1.0,6.0,6.0,6.0,6.0,6.0
VCT,5.0,5.0,5.0,5.0,5.0,5.0,5.0
VEN,1.0,1.0,1.0,1.0,1.0,1.0,1.0
VNM,7.0,7.0,7.0,7.0,8.0,8.0,8.0
VUT,10.0,10.0,10.0,11.0,11.0,11.0,11.0
WSM,5.0,5.0,5.0,5.0,9.0,9.0,9.0
YEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZAF,5.0,5.0,5.0,5.0,5.0,5.0,5.0
ZMB,7.0,7.0,7.0,7.0,11.0,11.0,11.0
ZWE,5.0,5.0,5.0,5.0,5.0,5.0,6.0
