country_code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AFG,35.8,35.8,35.8,35.8,35.8,35.8,35.8,35.8,35.6,36.1,36.1,47.9,71.4,71.4,71.4
AGO,52.2,52.2,52.2,52.2,52.2,52.2,52.3,52.3,52.6,52.6,49.0,48.0,49.1,49.1,49.1
ALB,58.6,56.9,46.3,50.0,44.0,40.6,38.7,38.8,31.7,31.6,36.9,36.9,37.3,37.3,36.6
ARE,14.4,14.4,14.4,14.4,14.1,14.1,14.1,14.9,14.8,14.8,15.9,15.9,15.9,15.9,15.9
ARG,107.3,107.3,107.3,107.3,107.3,107.4,107.4,107.5,119.4,137.4,137.6,106.0,106.0,106.0,106.3
ARM,36.6,36.6,38.6,38.6,38.6,38.6,38.8,38.8,35.9,20.1,20.0,18.5,18.5,18.5,22.6
ATG,51.5,47.6,46.2,46.2,41.0,41.0,41.0,41.0,40.9,41.6,41.9,41.9,41.9,42.8,43.0
AUS,52.1,51.1,50.1,50.0,47.8,47.6,47.3,47.2,47.3,47.4,47.6,47.6,47.5,47.4,47.4
AUT,57.2,51.1,51.1,51.1,51.6,51.3,50.8,52.3,51.9,51.7,51.7,51.6,51.8,51.5,51.4
AZE,46.4,42.4,40.9,40.9,40.9,38.9,40.0,40.0,39.8,39.8,39.8,39.8,39.8,41.2,40.7
BDI,280.2,280.2,280.2,280.2,280.2,154.9,46.5,46.5,45.2,40.3,40.3,40.1,41.5,41.2,41.2
BEL,60.1,59.9,57.9,55.9,55.2,57.3,57.7,58.2,58.0,58.4,58.4,58.7,57.1,57.7,55.4
BEN,65.7,65.7,65.7,65.7,61.2,55.0,55.0,55.0,48.9,48.9,48.9,48.9,48.9,48.9,48.9
BFA,47.6,47.6,47.6,44.5,44.5,44.8,42.7,42.7,41.3,41.3,41.3,41.3,41.3,41.3,41.3
BGD,,,,,,,,,35.4,35.4,34.4,34.4,33.4,33.4,33.4
BGR,45.2,41.6,35.8,33.9,30.4,28.0,27.2,27.8,27.0,27.0,27.0,27.0,27.1,27.7,28.3
BHR,,,14.7,14.7,14.7,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.8,13.8,13.8
BHS,,,42.9,42.9,42.9,42.9,44.6,44.6,48.5,41.1,33.8,33.8,31.5,31.5,33.8
BIH,42.8,42.7,42.8,42.8,25.9,22.2,23.6,23.6,22.2,23.3,23.3,22.6,23.7,23.7,23.7
BLR,137.2,137.2,120.8,117.4,99.9,80.8,63.0,54.3,50.5,50.3,51.9,52.7,52.9,53.3,53.3
BLZ,34.7,34.8,34.8,33.2,33.2,33.2,33.2,33.2,31.1,31.1,31.1,31.1,31.1,31.1,31.1
BOL,80.0,80.0,80.0,80.0,80.0,80.0,80.0,83.4,83.7,83.7,83.7,83.7,83.7,83.7,83.7
BRA,,,,,,,,,66.1,66.0,65.6,65.3,65.1,65.1,65.1
BRB,,,,,,,35.0,34.7,34.6,34.6,34.7,34.7,35.3,35.3,35.6
BRN,,37.4,37.4,37.4,30.1,15.7,16.7,15.4,15.8,15.8,8.0,8.0,8.0,8.0,8.0
BTN,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3
BWA,17.1,17.1,17.1,17.1,17.0,19.5,19.5,25.4,25.3,25.1,25.1,25.1,25.1,25.1,25.1
CAF,65.7,203.8,203.8,203.8,203.8,203.8,54.6,67.4,73.3,73.3,73.3,73.3,73.3,73.3,73.3
CAN,47.5,45.0,44.3,44.1,42.3,22.0,20.7,20.1,19.9,21.1,21.1,21.0,20.9,20.5,24.5
CHE,28.8,27.6,27.9,27.8,28.7,28.8,28.9,29.4,28.8,28.8,28.8,28.8,28.8,28.8,28.8
CHL,25.3,25.1,25.1,25.1,24.8,24.5,24.5,27.7,27.7,28.9,29.9,31.4,33.0,34.0,34.0
CHN,,,,,,,,,68.8,68.6,67.9,68.2,66.5,64.0,59.2
CIV,53.4,53.4,50.6,50.6,50.4,50.2,50.1,44.4,52.5,51.9,51.9,51.3,50.1,50.1,50.1
CMR,50.6,50.8,50.8,50.4,48.8,48.8,48.8,48.8,48.8,48.8,48.8,57.7,57.7,57.7,57.7
COD,288.2,288.2,288.2,263.3,292.7,339.1,339.1,339.1,55.7,54.7,54.6,54.6,54.6,54.6,50.7
COG,64.5,64.5,64.5,64.5,64.5,64.5,63.1,64.5,55.8,55.0,56.0,54.3,54.3,54.3,54.3
COL,86.7,86.9,87.2,82.8,83.0,83.0,79.1,78.7,78.8,79.9,72.3,72.2,72.3,71.9,71.2
COM,217.9,217.9,217.9,217.9,217.9,217.9,217.9,217.9,216.5,216.5,216.5,216.5,216.5,219.6,219.6
CPV,53.1,53.1,53.1,53.1,49.7,37.5,37.9,37.2,36.5,36.5,36.5,36.6,36.6,37.0,37.5
CRI,58.1,58.1,58.1,58.1,58.1,58.3,58.3,58.6,58.2,58.2,58.2,58.3,58.3,58.3,58.3
CYP,,,,20.6,20.6,21.7,21.6,21.6,21.9,22.5,24.0,24.2,22.7,22.2,22.4
CZE,48.7,48.2,47.7,47.7,46.4,45.4,45.7,45.7,45.6,46.5,46.5,46.1,46.1,46.1,46.1
DEU,47.7,47.4,49.0,49.4,43.9,47.0,45.6,45.9,49.1,48.8,48.8,48.9,48.9,49.0,48.8
DJI,37.8,37.8,37.8,37.8,37.8,38.1,38.1,38.1,37.6,37.6,37.6,37.7,37.9,37.9,37.9
DMA,37.0,37.0,37.0,37.0,37.0,37.0,37.1,37.1,37.0,37.0,37.0,35.2,32.6,32.6,32.6
DNK,32.6,30.8,31.3,28.5,27.6,27.5,25.7,26.3,25.6,25.4,23.9,24.4,23.8,23.8,23.8
DOM,35.5,35.8,39.5,35.2,38.4,40.1,41.2,43.4,43.5,43.5,43.5,42.4,48.8,48.8,48.8
DZA,76.9,76.9,74.2,74.2,72.5,72.5,72.5,72.4,72.3,73.2,73.2,66.0,66.1,66.1,66.1
ECU,35.2,35.2,35.2,34.8,34.8,35.2,34.4,34.4,33.5,32.8,32.8,32.5,32.5,32.3,34.4
EGY,54.4,46.4,45.1,44.0,43.0,42.5,43.6,42.6,40.1,44.7,44.9,43.5,45.8,46.9,44.4
ERI,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,83.7,83.7,83.7,83.7,83.7,83.7,83.7
ESP,60.4,60.5,60.7,58.8,55.8,55.3,37.6,37.6,56.9,57.9,49.8,48.7,46.9,47.0,47.0
EST,50.4,49.2,48.5,48.0,48.2,48.7,57.7,66.6,49.6,49.2,49.2,48.5,48.5,48.5,47.8
ETH,29.1,29.1,29.1,29.1,29.1,29.1,29.1,33.2,35.0,35.7,36.9,37.7,37.7,37.7,37.7
FIN,49.5,47.7,47.8,47.8,47.7,40.8,39.1,40.6,39.9,40.1,37.9,38.1,38.4,37.3,36.6
FJI,41.5,41.5,41.5,41.5,41.2,39.3,38.3,37.6,31.1,31.1,31.1,33.1,32.0,32.2,32.1
FRA,68.3,68.2,68.3,67.7,68.0,68.0,68.0,69.7,69.8,71.3,64.9,64.1,62.6,60.4,60.7
FSM,59.6,59.6,58.7,58.7,58.7,58.7,59.0,59.9,60.0,60.5,60.5,60.5,60.5,60.5,60.5
GAB,46.0,45.7,45.7,45.7,45.7,44.4,44.4,44.4,44.2,41.7,46.8,46.8,46.8,47.1,47.1
GBR,34.7,34.6,34.6,34.2,34.9,36.1,36.2,35.0,34.7,33.5,32.0,30.9,30.7,30.0,30.6
GEO,57.0,38.6,38.6,38.6,15.3,15.3,16.5,16.5,16.4,16.4,16.4,16.4,16.4,9.9,9.9
GHA,39.1,35.3,32.1,31.9,31.9,31.9,32.9,32.8,32.7,32.7,32.7,32.7,33.2,32.4,55.4
GIN,71.6,71.6,71.6,71.6,71.6,78.7,83.1,83.1,61.4,61.4,61.4,61.4,61.4,61.4,69.3
GMB,279.9,285.9,285.9,285.9,285.9,285.9,277.1,277.1,272.1,60.1,51.3,51.3,51.3,56.6,48.4
GNB,54.2,45.9,45.9,45.9,45.9,45.9,45.9,45.9,45.5,45.5,45.5,45.5,45.5,45.5,45.5
GNQ,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,79.4,79.4,79.4,79.4
GRC,54.0,49.5,48.9,46.7,46.7,46.7,45.9,44.1,44.0,50.7,49.6,50.7,51.7,51.9,51.9
GRD,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,48.4,47.8,47.8
GTM,41.1,41.1,41.1,40.9,40.9,40.9,40.9,40.9,40.9,39.9,37.5,35.2,35.2,35.2,35.2
GUY,39.0,39.0,39.0,39.0,38.8,38.8,35.9,35.9,32.0,32.3,32.3,32.3,32.3,30.6,30.6
HKG,24.1,24.1,24.1,24.1,23.0,23.0,23.0,23.0,22.6,22.8,22.8,22.9,22.9,22.9,21.9
HND,37.2,37.2,37.2,37.2,37.2,37.2,38.7,35.1,38.5,37.7,40.2,40.2,40.5,40.8,39.1
HRV,20.8,20.8,20.8,20.8,20.8,21.5,21.3,21.2,19.3,18.4,20.0,20.9,20.6,20.5,20.5
HTI,40.4,40.4,40.4,40.4,40.4,40.4,40.4,40.4,40.3,40.3,40.3,40.3,42.8,42.7,42.7
HUN,53.6,52.9,55.2,56.4,56.4,54.5,51.8,49.7,49.2,47.9,48.2,46.3,46.4,40.3,37.9
IDN,,,,,,,,,32.2,31.4,29.7,30.6,30.0,30.1,30.1
IND,,,,,,,,,55.7,55.5,55.5,56.2,56.2,52.1,49.7
IRL,25.4,25.4,25.4,25.5,25.6,25.4,25.5,25.6,25.9,26.0,26.0,26.0,26.0,26.0,26.1
IRN,44.2,44.2,44.2,44.2,44.2,44.1,44.1,44.1,44.1,44.1,44.1,44.7,44.7,44.7,44.7
IRQ,26.1,29.9,29.9,29.9,29.9,29.9,29.9,29.9,31.5,31.5,31.5,31.5,30.8,30.8,30.8
ISL,26.8,26.8,26.3,26.1,24.4,26.4,30.3,31.1,30.3,30.3,30.1,30.1,29.9,30.6,31.9
ISR,35.5,34.8,32.9,30.1,28.3,27.5,26.8,25.6,26.4,26.7,27.9,28.1,27.0,26.2,25.3
ITA,76.7,75.3,75.3,72.5,67.6,67.6,67.6,67.6,65.6,65.2,64.8,62.0,48.0,53.1,59.1
JAM,47.9,47.9,47.9,47.9,47.9,46.7,46.6,46.6,46.5,41.1,35.3,33.1,33.1,35.1,35.1
JOR,31.1,31.1,31.1,31.1,31.1,31.2,28.2,28.6,29.1,29.0,29.5,27.6,28.1,28.6,28.6
JPN,,,,,,,,,48.7,50.3,50.4,48.8,47.4,46.7,46.7
KAZ,45.0,45.0,41.9,42.0,36.2,29.8,29.0,29.0,28.9,28.9,29.2,29.2,29.2,29.4,28.4
KEN,49.8,49.8,49.3,49.3,49.3,49.3,48.9,43.7,37.4,37.1,37.1,37.4,37.4,37.2,37.2
KGZ,68.3,67.4,61.7,61.7,59.4,30.6,33.4,33.4,29.0,29.0,29.0,29.0,29.0,29.0,29.0
KHM,21.5,21.5,21.5,21.5,22.6,22.6,22.6,22.6,21.0,21.0,21.0,21.0,21.7,21.7,23.1
KIR,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,32.7,32.7,32.7,32.7,32.7,32.7,32.7
KNA,52.3,52.3,52.5,52.5,52.5,52.5,52.5,51.9,51.6,49.7,49.7,49.7,49.7,49.7,49.7
KOR,36.8,32.5,31.6,33.9,32.3,30.2,34.1,34.0,33.4,33.2,33.2,33.1,33.1,33.1,33.2
KWT,10.7,10.7,10.7,10.7,10.7,10.7,10.7,12.4,12.4,12.8,13.0,13.0,13.0,13.0,13.0
LAO,35.2,35.2,35.2,33.5,31.4,31.4,31.4,31.4,26.3,25.8,25.3,26.2,26.2,24.1,24.1
LBN,35.4,35.4,35.4,30.6,30.6,30.6,30.6,30.6,30.0,30.3,30.3,30.3,30.3,31.1,32.2
LBR,,42.5,42.2,42.5,42.5,42.5,42.5,25.3,26.9,31.4,47.7,45.5,45.5,45.5,46.2
LBY,,,,,,,,32.6,32.6,32.6,32.6,32.6,32.6,32.6,32.6
LCA,35.7,34.0,34.0,34.0,34.4,34.0,34.4,34.6,34.7,34.7,34.7,34.7,34.7,34.7,34.7
LIE,,,,,,,,,,,,,,21.6,21.6
LKA,56.7,59.8,61.7,61.7,61.7,96.6,112.9,55.3,57.0,55.4,55.2,55.2,55.2,55.2,55.2
LSO,20.1,20.1,15.9,14.2,14.2,14.2,14.0,13.8,13.6,13.6,13.6,13.6,13.6,13.6,13.6
LTU,51.2,47.6,46.2,45.6,43.6,45.1,43.1,43.0,42.9,42.4,42.6,42.6,42.7,42.6,42.6
LUX,,20.4,20.0,20.0,20.0,20.0,19.8,20.0,20.4,20.6,20.6,20.8,20.5,20.5,20.4
LVA,36.2,36.2,36.2,36.6,37.5,37.5,37.0,35.8,35.0,35.0,35.9,35.9,35.9,36.0,38.1
MAR,51.7,51.7,52.9,52.9,49.4,49.7,49.7,49.7,48.8,49.0,49.1,49.3,49.8,49.8,45.8
MDA,47.5,45.5,42.5,42.0,31.0,30.4,30.8,30.8,39.4,39.4,39.9,40.4,40.5,40.3,38.7
MDG,45.3,45.0,45.0,47.1,42.8,42.0,41.2,39.8,38.9,38.1,38.1,38.1,38.1,38.3,38.3
MDV,9.3,9.3,9.3,9.3,9.3,9.3,9.3,25.9,30.2,30.2,30.2,30.2,30.2,30.2,30.2
MEX,,,,,,,,,53.1,53.4,53.5,52.9,53.4,55.7,55.1
MHL,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,65.7,65.9
MKD,17.8,17.8,17.8,15.4,13.0,8.1,7.5,7.4,7.4,8.3,13.0,13.0,13.0,13.0,13.0
MLI,51.4,51.4,51.4,51.4,51.4,51.4,51.1,51.1,48.3,48.3,48.3,48.3,48.3,48.3,54.5
MLT,,,,,,,41.4,41.4,41.4,41.5,41.5,43.8,43.9,44.0,44.0
MMR,,,,,,,,39.5,35.4,34.0,33.1,31.9,31.2,31.2,31.2
MNE,,33.2,33.2,33.8,30.1,29.2,24.6,21.8,21.8,21.8,21.8,22.2,22.1,22.2,22.2
MNG,40.0,40.0,40.0,33.9,24.4,24.7,24.7,24.9,24.8,24.7,24.7,24.7,24.7,24.7,25.7
MOZ,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,36.1,36.1,36.1,36.1,36.1,36.1,36.1
MRT,85.8,85.8,85.8,77.0,77.0,59.3,59.3,59.3,52.7,67.0,67.0,67.0,67.0,67.0,67.0
MUS,26.2,26.0,24.2,25.8,26.0,26.5,28.3,26.9,23.6,23.6,21.5,21.8,21.9,22.1,22.2
MWI,33.4,33.4,33.0,32.2,26.3,25.9,29.0,32.4,33.5,35.2,34.5,34.5,34.5,34.5,34.5
MYS,36.0,36.0,36.0,34.5,33.5,33.9,34.1,34.6,39.1,39.3,40.0,40.0,39.2,39.2,38.7
NAM,25.8,25.8,25.8,22.8,22.3,22.3,21.8,21.8,21.2,20.7,21.3,20.7,20.7,20.7,20.7
NER,42.5,42.5,42.6,42.5,46.7,46.7,44.3,44.3,47.3,47.3,48.1,48.1,47.2,47.2,47.2
NGA,,,,,,,,,33.0,33.0,33.9,34.9,34.8,34.8,34.8
NIC,63.5,63.5,63.5,63.3,63.3,63.3,64.1,62.4,62.4,59.3,60.1,59.8,60.2,60.6,60.6
NLD,47.7,44.6,41.8,38.2,38.5,39.4,39.6,39.2,39.5,39.0,41.0,40.4,40.7,40.8,41.2
NOR,41.1,41.1,41.1,40.7,40.7,40.7,40.7,40.7,40.7,40.4,39.5,39.5,37.7,37.0,36.2
NPL,32.5,32.5,32.8,34.1,32.5,31.7,31.5,31.5,29.9,29.9,29.9,29.9,30.0,37.0,41.8
NZL,36.6,35.4,35.5,36.0,33.2,34.7,34.4,34.0,34.4,34.4,34.3,34.3,34.5,34.6,34.6
OMN,19.5,20.3,21.6,21.6,21.6,21.6,22.0,22.0,23.0,22.9,23.4,23.9,23.9,27.4,27.4
PAK,,,,,,,,,32.4,32.6,32.9,33.4,33.9,34.1,33.9
PAN,43.9,44.1,44.7,43.8,43.8,43.8,43.6,40.5,37.0,37.2,37.2,37.2,37.2,37.2,37.2
PER,38.9,38.8,38.8,39.1,38.2,38.2,37.6,37.4,37.4,37.3,37.3,35.6,35.6,36.8,36.8
PHL,47.2,47.6,49.1,47.1,47.1,43.8,44.5,44.5,42.5,42.5,42.9,42.9,42.9,42.9,43.1
PLW,72.5,72.5,72.5,72.5,72.5,72.5,72.5,75.2,75.0,75.4,75.4,75.5,75.5,75.8,76.6
PNG,41.5,41.5,41.5,41.5,42.1,42.1,42.1,42.1,39.3,39.3,39.3,39.3,39.3,39.3,37.1
POL,43.2,43.2,43.4,45.1,42.2,40.6,40.1,40.3,40.1,40.1,40.3,40.4,40.5,40.7,40.8
PRI,57.6,57.6,57.6,60.6,60.6,63.6,63.1,50.4,49.6,66.0,67.0,64.4,64.4,64.4,64.4
PRT,43.8,43.8,42.9,42.5,42.3,42.6,42.6,41.9,42.2,42.3,40.9,39.8,39.8,39.8,39.8
PRY,54.5,44.8,35.1,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
PSE,22.5,18.1,16.8,16.5,16.5,16.5,16.5,16.5,16.5,15.3,15.3,15.3,15.3,15.3,15.3
QAT,,,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3
ROU,55.8,48.2,45.6,45.4,45.5,44.0,43.5,43.3,43.2,43.2,42.0,40.0,40.0,40.0,20.0
RUS,,,,,,,,,48.7,48.9,47.0,47.4,47.5,46.3,46.2
RWA,41.2,41.2,37.2,37.1,34.7,34.7,34.7,34.5,33.0,33.0,33.0,33.0,33.2,33.2,33.2
SAU,14.9,14.6,14.6,14.6,14.7,14.7,14.7,14.7,14.6,14.6,15.0,15.7,15.7,15.7,15.7
SDN,49.7,36.1,36.1,36.1,36.1,36.1,36.1,36.1,45.4,45.4,45.4,45.4,45.4,45.4,45.4
SEN,50.3,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.3,45.1,47.3,45.1,45.1,45.1,44.8
SGP,26.2,22.4,21.8,24.2,24.1,23.4,23.8,18.4,20.1,18.0,18.0,19.1,20.3,20.6,21.0
SLB,26.1,26.1,26.1,26.1,26.1,26.2,26.2,25.3,32.0,32.0,32.0,32.0,32.0,32.0,32.0
SLE,272.0,272.0,235.2,235.2,235.2,235.2,32.4,32.4,31.0,31.0,30.7,30.7,30.7,30.7,30.7
SLV,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,38.8,38.8,38.8,35.5,35.5,35.6,36.4
SMR,,,,,,,,40.1,39.9,39.9,40.3,35.2,35.7,35.7,36.2
SRB,30.9,30.9,30.9,29.2,29.2,31.2,31.2,31.2,31.2,35.6,36.6,36.7,36.7,36.6,36.6
SSD,,,,,,,,26.4,29.2,29.0,29.0,31.4,31.4,31.4,31.4
STP,51.0,51.3,51.3,51.3,51.3,38.8,38.0,38.0,38.0,37.5,37.5,37.0,37.0,37.0,37.0
SUR,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9
SVK,50.0,47.6,47.6,47.4,48.4,48.9,48.3,49.2,48.7,49.4,50.4,50.1,50.1,49.7,49.7
SVN,39.2,39.2,38.4,34.9,35.8,33.6,32.9,32.9,31.4,31.0,31.0,31.0,31.0,31.0,31.0
SWE,54.1,54.1,53.8,53.8,53.9,52.1,52.1,52.1,52.1,49.1,49.1,49.1,49.1,49.1,49.1
SWZ,36.6,36.6,36.6,36.6,36.6,36.8,37.6,36.8,36.7,36.9,34.7,35.1,35.2,35.7,35.8
SYC,48.4,48.4,48.4,46.6,44.1,42.0,30.0,23.5,25.5,29.8,30.1,30.1,30.1,30.1,30.1
SYR,43.5,43.5,43.5,40.5,39.9,39.9,39.9,39.9,39.9,42.7,42.7,42.7,42.7,42.7,42.7
TCD,74.0,74.0,74.0,71.3,71.3,75.8,75.8,75.7,72.4,63.5,63.5,63.5,63.5,63.5,63.5
TGO,52.5,52.5,52.6,52.6,52.5,50.3,48.9,48.9,48.9,50.3,48.5,48.5,48.5,48.2,48.2
THA,36.4,35.9,36.4,36.1,35.8,35.8,35.9,36.1,28.7,26.0,26.8,29.6,28.7,29.5,29.5
TJK,79.9,79.9,80.0,83.4,83.8,84.0,84.5,84.5,80.9,81.8,81.8,66.1,66.3,67.3,67.3
TLS,48.9,48.9,48.9,33.1,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,17.3
TON,27.5,27.5,27.5,27.5,22.7,23.6,23.6,23.6,27.5,27.5,27.5,27.5,27.5,27.5,27.5
TTO,39.2,39.2,35.0,36.3,36.3,35.0,31.0,31.0,31.5,32.0,32.2,32.0,36.2,39.7,40.5
TUN,61.2,61.2,61.2,59.1,62.8,62.8,62.8,62.8,62.8,62.8,60.2,60.2,64.1,60.2,60.7
TUR,46.1,45.7,44.3,44.0,42.9,42.9,39.7,39.7,39.4,39.8,40.5,40.5,40.4,40.4,42.3
TZA,43.8,43.8,43.9,44.4,44.4,44.4,44.9,44.9,44.3,44.3,43.9,43.9,44.1,44.0,43.8
UGA,36.7,35.0,36.6,35.4,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.7,33.7,33.7,33.7
UKR,57.3,57.0,56.6,57.2,57.2,55.5,57.1,55.4,54.4,52.7,52.2,52.3,37.8,41.7,45.2
URY,71.3,71.3,71.3,43.0,41.9,41.9,41.9,41.9,41.8,41.8,41.8,41.8,41.8,41.8,41.8
USA,,,,,,,,,43.8,43.8,43.9,44.0,43.8,43.8,36.6
UZB,96.7,112.1,90.3,89.8,95.0,95.8,97.7,98.7,93.7,42.1,41.1,38.1,38.3,32.1,31.6
VCT,45.0,45.0,45.0,42.6,41.0,38.7,38.7,38.7,38.6,38.6,39.3,39.3,39.3,39.3,37.0
VEN,50.2,49.8,53.6,55.6,60.4,51.9,62.8,61.5,65.0,65.0,64.7,65.0,70.1,70.1,73.3
VNM,39.9,39.9,39.9,39.9,40.0,33.1,39.9,35.3,40.8,40.8,39.4,39.4,38.1,37.8,37.6
VUT,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.5,8.5,8.5,8.5,8.5,8.5,8.5
WSM,19.3,19.3,19.3,18.4,18.4,18.4,18.4,18.4,18.4,18.1,18.1,18.5,19.3,19.3,19.3
YEM,196.7,49.4,49.4,49.3,49.3,49.3,34.5,33.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6
ZAF,37.1,36.6,36.1,33.3,30.0,30.2,31.8,32.0,28.7,28.9,28.8,28.8,28.9,29.1,29.2
ZMB,15.4,15.4,15.0,15.0,15.0,14.3,14.4,16.2,15.9,15.5,18.6,18.6,15.6,15.6,15.6
ZWE,30.1,30.2,49.3,66.3,36.1,38.2,33.5,33.4,34.1,31.4,31.6,31.6,31.6,31.6,31.6
