country_code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,,2.3,2.2,2.2,2.4,2.4,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.6,2.6,,1.7,1.6
AGO,2.4,2.4,2.4,2.4,2.4,2.4,2.3,2.3,2.3,,,,,,,,,,
ALB,3.3,3.3,,,,,,,,,,,,,,,,,
ARM,3.8,3.7,3.7,3.7,3.7,3.7,3.6,3.7,3.7,,,,,,,,,,
AZE,3.2,3.2,3.2,3.2,3.2,3.1,,,,,,,,,,,,,
BDI,2.7,2.7,2.6,2.6,2.6,2.6,2.7,2.7,2.7,2.8,2.5,2.4,2.3,2.3,2.3,2.3,2.3,2.5,2.4
BEN,3.4,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.4,3.4,3.5,3.6,3.7
BFA,3.6,3.5,3.5,3.5,3.7,3.7,3.7,3.7,3.7,3.5,3.5,3.5,3.4,3.4,3.2,3.4,3.4,3.2,3.2
BGD,2.9,2.8,3.0,3.0,3.0,3.0,2.9,2.9,2.9,2.9,2.9,2.8,2.7,2.7,2.6,2.5,2.5,2.5,2.7
BIH,3.3,3.4,3.3,3.3,3.3,3.3,3.3,3.3,3.3,,,,,,,,,,
BOL,3.3,3.3,3.3,3.3,3.3,3.3,3.2,3.2,3.2,3.2,3.1,,,,,,,,
BTN,3.8,3.8,3.8,3.8,3.9,3.9,3.9,3.9,3.9,3.9,3.8,3.9,3.9,4.1,4.0,4.0,4.0,4.0,4.0
CAF,2.2,2.2,2.3,2.3,2.4,2.5,2.6,2.4,2.2,2.2,2.2,2.2,2.3,2.4,2.4,2.4,2.4,2.4,2.4
CIV,2.5,2.5,2.4,2.5,2.6,2.4,2.7,2.8,3.0,3.1,3.1,3.2,3.2,3.3,3.5,3.5,3.5,3.6,3.7
CMR,3.1,3.0,3.0,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,3.0,3.0,3.0,3.0,3.1,3.0,3.0,3.0
COD,2.3,2.3,2.3,2.2,2.2,2.2,2.2,2.2,2.4,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.6
COG,2.6,2.7,2.6,2.6,2.6,2.6,2.6,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.7,2.5,2.5,2.7,2.8
COM,2.3,2.2,2.2,2.2,2.4,2.4,2.4,2.5,2.4,2.4,2.6,2.7,2.6,2.6,2.5,2.4,2.2,2.1,2.1
CPV,3.9,3.9,4.0,4.0,4.0,4.0,4.0,4.0,4.1,4.0,4.0,3.8,3.9,4.0,4.0,4.1,4.1,4.0,4.0
DJI,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.6,2.7,2.7,2.7,2.7,2.7,3.0,3.1,3.2,3.1,3.1,3.1
DMA,3.6,3.6,3.8,3.8,3.8,3.9,3.8,3.8,3.8,3.8,3.8,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7
ERI,2.8,2.8,2.7,2.7,2.7,2.7,2.6,2.6,2.6,2.6,2.5,2.5,2.5,2.6,2.5,2.4,2.3,2.1,1.5
ETH,3.1,3.3,3.3,3.3,3.2,3.2,3.3,3.4,3.4,3.5,3.5,3.5,3.5,3.5,3.4,3.5,3.4,3.4,3.1
FJI,,,,,,,,,,,,,,,,3.2,3.3,3.2,3.2
FSM,,,,,,,2.8,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.8,2.8,2.9,2.9,2.9
GEO,3.6,3.7,3.7,3.8,3.8,3.9,3.8,4.0,4.0,,,,,,,,,,
GHA,3.7,3.9,3.9,3.9,3.8,3.7,3.7,3.7,3.7,3.4,3.7,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6
GIN,2.7,2.6,2.7,2.6,2.6,2.6,2.6,2.6,2.7,2.7,2.8,2.9,2.9,2.9,2.9,2.9,3.0,3.0,3.0
GMB,2.9,2.9,3.0,2.9,2.9,3.0,3.2,3.0,3.0,3.0,2.9,2.9,2.9,3.0,3.0,3.0,3.0,3.0,3.1
GNB,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.3,2.2,2.2,2.2,2.2,2.0,2.0,2.0,2.0,2.1,2.1,2.1
GRD,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.6,3.5,3.5,3.5,3.5,3.5,3.6,3.6,3.5,3.5,3.5
GUY,3.1,3.1,3.1,3.1,3.1,3.0,3.0,3.0,3.1,3.1,3.1,3.1,3.1,3.2,3.2,3.2,3.2,3.2,3.2
HND,3.5,3.5,3.5,3.4,3.3,3.3,3.4,3.2,3.0,3.0,3.1,3.1,3.1,3.1,3.0,3.0,3.0,3.0,2.8
HTI,2.3,2.4,2.4,2.4,2.5,2.5,2.5,2.5,2.4,2.4,2.4,2.4,2.4,2.5,2.3,2.2,2.0,2.0,1.9
IDN,3.2,3.2,,,,,,,,,,,,,,,,,
IND,3.7,3.7,3.7,3.7,3.7,3.6,3.6,3.6,3.6,,,,,,,,,,
KEN,3.3,3.4,3.3,3.3,3.3,3.3,3.3,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.6,3.5,3.6
KGZ,2.7,2.8,2.9,3.0,3.0,3.0,3.0,3.1,3.1,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.0,3.0
KHM,2.6,2.7,2.7,2.7,2.7,2.7,2.8,2.8,2.8,2.8,2.7,2.7,2.7,2.6,2.6,2.7,2.8,2.8,2.8
KIR,3.3,3.2,3.2,3.1,3.1,3.1,3.3,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.3,3.3,3.3,3.2,3.2
LAO,2.5,2.7,2.7,2.9,2.9,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,2.8,2.8,2.8,2.8,2.8
LBR,,,,,2.8,2.8,2.8,2.8,2.9,2.9,2.9,2.9,2.9,2.5,2.7,2.7,2.8,2.7,2.7
LCA,3.9,3.8,3.9,3.9,4.0,4.0,4.0,4.0,4.0,3.9,3.7,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8
LKA,3.5,3.5,3.3,3.3,3.4,3.4,3.4,3.4,3.3,3.3,3.4,,,,3.3,,,3.3,3.3
LSO,3.4,3.4,3.4,3.4,3.4,3.5,3.5,3.5,3.3,3.3,3.3,3.3,3.3,3.2,3.1,3.0,3.0,3.0,2.9
MDA,3.2,3.2,3.4,3.5,3.4,3.4,3.5,3.5,3.6,3.5,3.4,3.4,3.4,3.4,3.3,,,,
MDG,3.4,3.4,3.5,3.6,3.3,3.0,2.8,2.6,2.5,2.6,2.7,2.8,2.8,2.8,2.7,2.7,2.7,2.7,2.7
MDV,3.6,3.5,3.5,3.5,3.5,3.5,3.4,3.4,3.2,3.2,3.1,3.1,3.0,3.0,3.2,3.2,3.2,3.2,3.2
MHL,,,,,,,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8
MLI,3.6,3.5,3.5,3.4,3.4,3.4,3.3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.1,2.7,2.6,2.4,2.3
MMR,,,,,,,,,2.7,2.9,3.0,3.0,2.9,2.8,2.8,2.8,2.0,1.9,1.9
MNG,3.3,3.3,3.4,3.3,3.4,3.4,3.5,3.4,3.4,3.3,3.4,3.3,3.3,3.2,3.3,,,,
MOZ,3.2,3.1,3.3,3.3,3.4,3.4,3.4,3.4,3.3,3.3,3.2,3.2,3.1,3.1,3.1,3.0,3.0,3.0,2.9
MRT,2.9,2.9,3.0,3.0,3.0,3.0,3.0,3.1,3.1,3.2,3.2,3.3,3.3,3.3,3.3,3.2,3.3,3.3,3.4
MWI,3.4,3.4,3.4,3.4,3.4,3.4,3.3,3.3,3.1,3.1,3.1,3.2,3.2,3.2,3.0,3.0,3.0,2.9,3.0
NER,3.2,3.2,3.2,3.2,3.1,3.2,3.2,3.2,3.2,3.2,3.2,3.1,3.1,3.1,3.1,3.2,3.2,3.2,3.2
NGA,2.8,2.8,2.9,2.9,2.9,2.9,2.9,2.9,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.7
NIC,3.5,3.4,3.4,3.4,3.4,3.2,3.2,3.2,3.3,3.3,3.3,3.2,3.2,3.1,3.0,2.9,2.8,2.6,2.4
NPL,3.0,3.2,3.2,3.0,3.0,2.8,2.9,3.0,3.1,3.1,3.1,3.1,3.1,3.1,2.9,2.9,3.0,2.9,2.8
PAK,3.2,3.2,3.2,3.0,3.0,3.1,3.0,3.0,3.0,3.0,3.1,3.1,3.1,3.1,3.2,3.2,3.3,3.1,3.2
PNG,3.1,2.9,2.9,2.9,2.8,2.9,3.0,3.0,2.9,2.9,2.9,2.9,2.9,2.9,2.7,2.7,2.7,2.8,2.8
RWA,3.3,3.4,3.5,3.5,3.5,3.7,3.6,3.6,3.6,3.6,3.7,3.7,3.7,3.8,3.8,3.8,3.8,3.8,3.9
SDN,2.4,2.3,2.3,2.3,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.1,2.1,2.1,1.9,1.8,1.8
SEN,3.6,3.6,3.5,3.4,3.4,3.5,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.5,3.5,3.5,3.6,3.6,3.6
SLB,2.6,2.5,2.5,2.6,2.6,2.7,2.8,2.8,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.6,2.7,2.7
SLE,2.9,2.9,2.8,2.7,2.9,3.0,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.2,3.2,3.2,3.2,3.2,3.2
SOM,,,,,,,,,,,,,1.8,,2.0,2.0,1.9,1.9,1.9
SRB,3.4,2.9,,,,,,,,,,,,,,,,,
SSD,,,,,,,,2.0,2.0,1.9,1.7,1.5,1.4,1.4,1.4,1.4,1.4,1.4,1.3
STP,3.1,3.0,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.2,3.2,3.2,3.1,3.0,3.0,3.0,3.0
TCD,2.4,2.4,2.2,2.2,2.2,2.2,2.2,2.2,2.4,2.6,2.7,2.7,2.7,2.6,2.5,2.6,2.5,2.5,2.4
TGO,2.2,2.2,2.2,2.2,2.4,2.6,2.8,2.7,2.6,2.6,2.6,2.7,2.8,2.9,3.1,3.2,3.2,3.2,3.4
TJK,2.6,2.6,2.6,2.6,2.7,2.8,2.9,3.0,3.0,3.0,2.9,2.8,2.9,2.8,2.8,2.8,2.9,3.0,3.1
TLS,,2.6,2.6,2.7,2.7,2.7,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.6,2.6
TON,2.7,2.7,2.9,3.3,3.6,3.8,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.6,3.6,3.5,3.6
TUV,,,,,,,,3.0,3.0,3.1,3.2,3.2,3.2,3.1,3.1,3.0,3.2,3.2,3.2
TZA,3.8,3.8,3.7,3.5,3.5,3.3,3.3,3.3,3.4,3.4,3.3,3.4,3.4,3.0,3.0,3.0,3.0,3.0,3.1
UGA,3.3,3.3,3.3,3.4,3.3,3.2,3.2,3.0,3.0,3.1,3.1,3.0,3.0,3.2,3.2,3.2,3.2,3.3,3.3
UZB,2.4,2.4,2.5,2.7,2.8,2.8,2.9,2.9,2.9,3.0,3.2,3.2,3.2,3.3,3.4,3.4,3.7,3.7,3.7
VCT,3.7,3.7,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7
VNM,3.5,3.5,3.5,3.6,3.6,3.6,3.6,3.5,3.5,3.5,3.5,,,,,,,,
VUT,3.1,3.1,3.1,3.3,3.3,3.4,3.4,3.5,3.5,3.4,3.3,3.3,3.3,3.3,3.2,3.2,3.2,3.1,3.1
WSM,4.0,3.9,3.9,3.9,4.0,4.0,4.0,4.0,4.1,4.1,4.1,4.1,4.1,4.1,4.2,4.1,4.1,4.1,4.1
YEM,2.9,2.9,2.9,3.0,3.0,2.9,2.9,2.8,2.8,2.7,2.4,2.2,1.8,1.7,1.7,1.7,1.7,1.6,1.5
ZMB,3.2,3.2,3.2,3.2,3.2,3.1,3.1,3.2,3.2,3.2,3.2,3.2,3.2,3.1,3.0,3.0,2.9,2.9,2.9
ZWE,2.1,1.9,1.8,1.6,2.0,2.1,2.2,2.2,2.2,2.7,2.8,2.8,2.8,2.8,2.9,2.9,2.9,2.9,2.9
