country_code,2007,2010,2012,2014,2016,2018,2022
AFG,1.21,2.24,2.3,2.069573,2.141282,1.95,1.9
AGO,2.48,2.25,2.28,2.54298,2.241183,2.05,2.1
ALB,2.08,2.46,2.77,,2.412498,2.66,2.5
ARE,3.73,3.63,3.78,3.539098,3.941767,3.96,4.0
ARG,2.98,3.1,3.05,2.986475,2.962629,2.89,2.8
ARM,2.14,2.52,2.56,2.672723,2.205513,2.61,2.5
ATG,,,,,,,2.9
AUS,3.79,3.84,3.73,3.810776,3.793385,3.75,3.7
AUT,4.06,3.76,3.89,3.648587,4.097985,4.03,4.0
AZE,2.29,2.64,2.48,2.448376,,,
BDI,2.29,,1.61,2.565735,2.509776,2.06,
BEL,3.89,3.94,3.98,4.04466,4.108538,4.04,4.0
BEN,2.45,2.79,2.85,2.560822,2.428125,2.75,2.9
BFA,2.24,2.23,2.32,2.6383,2.73081,2.62,2.3
BGD,2.47,2.74,,2.56334,2.663902,2.58,2.6
BGR,2.87,2.83,3.21,3.157151,2.807685,3.03,3.2
BHR,3.15,3.37,3.05,3.083116,3.314021,2.93,3.5
BHS,,2.75,2.75,2.910966,2.749937,2.53,2.7
BIH,2.46,2.66,2.99,2.747618,2.596254,2.81,3.0
BLR,2.53,,2.61,2.638168,2.399232,2.57,2.7
BOL,2.31,2.51,2.61,2.480758,2.251462,2.36,2.4
BRA,2.75,3.2,3.13,2.943951,3.087984,2.99,3.2
BRN,,,,,2.870492,2.71,
BTN,2.16,2.38,2.52,2.29013,2.321436,2.17,2.5
BWA,,2.32,2.84,2.492775,3.045458,,3.1
CAF,,,,2.360932,,2.15,2.5
CAN,3.92,3.87,3.85,3.855498,3.930707,3.73,4.0
CHE,4.02,3.97,3.8,3.843969,3.987158,3.9,4.1
CHL,3.25,3.09,3.17,3.255786,3.248442,3.32,3.0
CHN,3.32,3.49,3.52,3.531463,3.661104,3.61,3.7
CIV,2.36,2.53,2.73,2.761981,2.602573,3.08,
CMR,2.49,2.55,2.53,2.296616,2.151499,2.6,2.1
COD,,2.68,2.21,1.878857,2.375762,2.43,2.5
COG,,2.48,2.08,2.077149,2.376768,2.49,2.6
COL,2.5,2.77,2.87,2.639637,2.612351,2.94,2.9
COM,2.48,2.45,2.14,2.402136,2.57914,2.56,
CRI,2.55,2.91,2.75,2.700719,2.64897,2.79,2.9
CUB,,2.07,2.2,2.179734,2.346459,2.2,2.2
CYP,2.92,3.13,3.24,3.000577,2.999061,3.15,3.2
CZE,3.13,3.51,3.14,3.492416,3.674309,3.68,3.3
DEU,4.1,4.11,4.03,4.121983,4.225967,4.2,4.1
DJI,1.94,2.39,1.8,2.149867,2.32254,2.63,2.7
DNK,3.86,3.85,4.02,3.78252,3.815794,3.99,4.1
DOM,2.38,2.82,2.7,2.860551,2.62728,2.66,2.6
DZA,2.06,2.36,2.41,2.649451,2.769683,2.45,2.5
ECU,2.6,2.77,2.76,2.710986,2.779081,2.88,
EGY,2.37,2.61,2.98,2.965911,3.184964,2.82,3.1
ERI,2.19,1.7,2.11,2.084755,2.171842,2.09,
ESP,3.52,3.63,3.7,3.718636,3.727412,3.83,3.9
EST,2.95,3.16,2.86,3.34592,3.363489,3.31,3.6
ETH,2.33,2.41,2.24,2.593625,2.376767,,
FIN,3.82,3.89,4.05,3.623035,3.920745,3.97,4.2
FJI,,2.24,2.42,2.545003,2.316186,2.35,2.3
FRA,3.76,3.84,3.85,3.847305,3.900953,3.84,3.9
GAB,2.1,2.41,2.34,2.202899,2.19165,2.16,2.4
GBR,3.99,3.95,3.9,4.014649,4.069669,3.99,3.7
GEO,,2.61,2.77,2.507491,2.353013,2.44,2.7
GHA,2.16,2.47,2.51,2.626934,2.660931,2.57,2.5
GIN,2.71,2.6,2.48,2.464191,2.35896,2.2,2.5
GMB,2.52,2.49,2.46,2.249081,,2.4,2.3
GNB,2.28,2.1,2.6,2.426464,2.370681,2.39,2.6
GNQ,,,,2.354636,1.87919,2.32,
GRC,3.36,2.96,2.83,3.201602,3.239516,3.2,3.7
GRD,,,,,,,2.5
GTM,2.53,2.63,2.8,2.797453,2.476327,2.41,2.6
GUY,2.05,2.27,2.33,2.459132,2.667018,2.36,2.4
HKG,4.0,3.88,4.12,3.826763,4.069103,3.92,4.0
HND,2.5,2.78,2.53,2.607427,2.462812,2.6,2.9
HRV,2.71,2.77,3.16,3.052949,3.160829,3.1,3.3
HTI,2.21,2.59,2.03,2.269601,1.716096,2.11,2.1
HUN,3.15,2.99,3.17,3.464438,3.428968,3.42,3.2
IDN,3.01,2.76,2.94,3.081806,2.984537,3.15,3.0
IND,3.07,3.12,3.08,3.080137,3.420043,3.18,3.4
IRL,3.91,3.89,3.52,3.868014,3.794886,3.51,3.6
IRN,2.51,2.57,2.49,,2.601254,2.85,2.3
IRQ,,2.11,2.16,2.29784,2.149902,2.18,2.4
ISL,,3.2,3.39,3.391863,3.345605,3.23,3.6
ISR,3.21,3.41,,3.260446,3.66033,3.31,3.6
ITA,3.58,3.64,3.67,3.691076,3.755414,3.74,3.7
JAM,2.25,2.53,2.42,2.842494,2.400214,2.52,2.5
JOR,2.89,2.74,2.56,2.873924,2.956611,2.69,
JPN,4.02,3.97,3.93,3.914618,3.970464,4.03,3.9
KAZ,2.12,2.83,2.69,2.69942,2.751998,2.81,2.7
KEN,2.52,2.59,2.43,2.812079,3.331295,2.81,
KGZ,2.35,2.62,2.35,2.209336,2.15593,2.55,2.3
KHM,2.5,2.37,2.56,2.741407,2.80059,2.58,2.4
KOR,3.52,3.64,3.7,3.666238,3.717126,3.61,3.8
KWT,2.99,3.28,2.83,3.0113,3.151619,2.86,3.2
LAO,2.25,2.46,2.5,2.389703,2.067254,2.7,2.4
LBN,2.37,3.34,2.58,2.725805,2.717255,2.72,
LBR,2.31,2.38,2.45,2.62,2.203914,2.23,2.4
LBY,,2.33,2.28,2.496979,2.264495,2.11,1.9
LKA,2.4,2.29,2.75,2.695239,,2.6,2.8
LSO,2.3,,2.24,2.372849,2.025983,2.28,
LTU,2.78,3.13,2.95,3.178416,3.631688,3.02,3.4
LUX,3.54,3.98,3.82,3.946726,4.219409,3.63,3.6
LVA,3.02,3.25,2.78,3.402789,3.327107,2.81,3.5
MAR,2.38,,3.03,,2.665994,2.54,
MDA,2.31,2.57,2.33,2.653311,2.614269,2.46,2.5
MDG,2.24,2.66,2.72,2.382349,2.154639,2.39,2.3
MDV,,2.4,2.55,2.747544,2.513077,2.67,
MEX,2.87,3.05,3.06,3.128319,3.114031,3.05,2.9
MKD,2.43,2.77,2.56,2.499137,2.510262,2.7,3.1
MLI,2.29,2.27,,2.495227,2.503073,2.59,2.6
MLT,,2.82,3.16,3.106275,3.069256,2.81,3.3
MMR,1.86,2.33,2.37,2.249909,2.458571,2.3,
MNE,,2.43,2.45,2.87552,2.380016,2.75,2.8
MNG,2.08,2.25,2.25,2.355608,2.506056,2.37,2.5
MOZ,2.29,2.29,,2.228925,2.684105,,
MRT,2.63,,2.4,2.228909,1.866001,2.33,2.3
MUS,2.13,2.72,2.82,2.514919,,2.73,2.5
MWI,2.42,,2.81,2.813029,,2.59,
MYS,3.48,3.44,3.49,3.590425,3.426307,3.22,3.6
NAM,2.16,2.02,2.65,2.657883,2.744745,,2.9
NER,1.97,2.54,2.69,2.393399,2.561951,2.07,
NGA,2.4,2.59,2.45,2.808778,2.62809,2.53,2.6
NIC,2.21,2.54,,2.653283,2.531062,,2.5
NLD,4.18,4.07,4.02,4.047782,4.18753,4.02,4.1
NOR,3.81,3.93,3.68,3.958243,3.732163,3.7,3.7
NPL,2.14,2.2,2.04,2.587906,2.376783,2.51,
NZL,3.75,3.65,3.42,3.643892,3.388,3.88,3.6
OMN,2.92,2.84,2.89,2.995026,3.234308,3.2,3.3
PAK,2.62,2.53,2.83,2.825426,2.923219,2.42,
PAN,2.89,3.02,2.93,3.193734,3.337843,3.28,3.1
PER,2.77,2.8,2.94,2.840685,2.893389,2.69,3.0
PHL,2.69,3.14,3.02,3.003844,2.856259,2.9,3.3
PNG,2.38,2.41,2.38,2.430098,2.510624,2.17,2.7
POL,3.04,3.44,3.43,3.493829,3.425877,3.54,3.6
PRT,3.38,3.34,3.5,3.560284,3.409367,3.64,3.4
PRY,2.57,2.75,2.48,2.779734,2.561337,2.78,2.7
QAT,2.98,2.95,3.32,3.516657,3.599232,3.47,3.5
ROU,2.91,2.84,3.0,3.261155,2.99312,3.12,3.2
RUS,2.37,2.61,2.58,2.694479,2.570864,2.76,2.6
RWA,1.77,2.04,2.27,2.759116,2.986229,2.97,2.8
SAU,3.02,3.22,3.18,3.148437,3.156376,3.01,3.4
SDN,2.71,2.21,2.1,2.160954,2.530408,2.43,2.4
SEN,2.37,2.86,2.49,2.62217,2.327711,2.25,
SGP,4.19,4.09,4.13,4.004448,4.143632,4.0,4.3
SLB,2.08,2.31,2.41,2.587528,2.417321,2.57,2.8
SLE,1.95,1.97,2.08,,2.025402,2.08,
SLV,2.66,2.67,2.6,2.960467,2.705726,2.58,2.7
SOM,2.16,1.34,,1.773126,1.747098,2.21,2.0
SRB,2.28,2.69,2.8,2.962556,2.762577,2.84,2.8
STP,2.86,,2.48,2.733896,2.325633,2.65,
SVK,2.92,3.24,3.03,3.254533,3.336895,3.03,3.3
SVN,3.14,2.87,3.29,3.383272,3.184508,3.31,3.3
SWE,4.08,4.08,3.85,3.961349,4.204593,4.05,4.0
SYR,2.09,2.74,2.6,2.090922,1.598322,2.3,2.3
TCD,1.98,2.49,2.03,2.52968,2.164453,2.42,
TGO,2.25,2.6,2.58,2.31846,2.617778,2.45,2.5
THA,3.31,3.29,3.18,3.42958,3.2551,3.41,3.5
TJK,1.93,2.35,2.28,2.527419,2.062743,2.34,2.5
TKM,,2.49,,2.30495,2.211396,2.41,
TLS,1.71,,,,,,
TTO,,,,,2.398418,2.42,2.5
TUN,2.76,2.84,3.17,2.550996,2.496688,2.57,
TUR,3.15,3.22,3.51,3.500225,3.423693,3.15,3.4
TZA,2.08,2.6,2.65,2.330834,2.990185,,
UGA,2.49,2.82,,,3.043284,2.58,
UKR,2.55,2.57,2.85,2.976444,2.736683,2.83,2.7
URY,2.51,2.75,2.98,2.678649,2.974545,2.69,3.0
USA,3.84,3.86,3.93,3.917825,3.992172,3.89,3.8
UZB,2.16,2.79,2.46,2.39477,2.404525,2.58,2.6
VEN,2.62,2.68,2.49,2.808111,2.39078,2.23,2.3
VNM,2.89,2.96,3.0,3.154763,2.976629,3.27,3.3
YEM,2.29,2.58,2.89,2.18395,,2.27,2.2
ZAF,3.53,3.46,3.67,3.431244,3.775321,3.38,3.7
ZMB,2.37,2.28,,2.462674,2.429813,2.53,
ZWE,2.29,,2.55,2.33928,2.082408,2.12,2.5
